patch_id,start_date,start_ts_utc,patch_name,category,sub_category,key_values,change_description,impact,region,source_url
2019-02-08-node-connection,2019-02-08,1549584000,Node Connection,Economy,Node Connection,Node penalty removed for fish,Fish can now be sold at any Trade Manager at full price regardless of node connection. Previously unconnected nodes meant 30% value.,Major,All,
2019-09-04-fishing-mastery,2019-09-04,1567555200,Fishing Mastery,New Content,Fishing Mastery,Orange grade fish added; Mastery system introduced,"Fishing Mastery system added as part of Life Skill Mastery update. Orange grade (Prize Catch) fish introduced worth 1M-100M silver. Chance scales with Mastery (0% at 0, 3.75% at 1500, 6.25% at 3000). Ancient Relic Crystal Shard chance also increased. Manos fishing gear added.",Major,All,https://bdonexus.info/patch-notes/life-skill-mastery-patch-notes
2020-10-07-o-dyllita-launch,2020-10-07,1602028800,O'dyllita Launch,New Fish/Area,O'dyllita Launch,"Dark Chub, Flower Icefish, Charr + more","O'dyllita region launched with new freshwater fish species. Primary fishing at Salanar Pond and O'draxxia garden pond. Fish have extended freshness (originally 36h, later increased to 60h). Fish Workshop available.",Major,NA/EU,https://www.blackdesertfoundry.com/odyllita-patch-guide/
2020-12-16-mystical-fish,2020-12-16,1608076800,Mystical Fish,New Content,Mystical Fish,5 new Mystical Fish; Guru+ only; regular rod only,Mystical Fish added — extremely rare fish only catchable by Guru+ fishers with a regular fishing rod. Collecting all 5 types creates Stinky Fish for the 'God of Fishing' title.,Major,All,https://blackdesert.pearlabyss.com/asia/en-us/News/Notice/Detail?_boardNo=1983
2021-01-01-data-leak,2021-01-01,1609459200,Data Leak,Meta,Data Leak,Fish table %s leaked via BDOlytics,Pearl Abyss data leak exposed internal fish table percentages and catch rates. Data made available through BDOlytics. Formed basis for community fishing tools. INCREASINGLY OUTDATED due to subsequent patches.,Major,All,https://bdolytics.com/en/NA/map
2021-03-10-pufferfish-event,2021-03-10,1615334400,Pufferfish Event,Event/Seasonal,Pufferfish Event,Scaled Red Egg = 10M silver,"Pufferfish event at seagull spots (requires Prof. Fishing Lv.5). Scaled Red Egg drop worth 10,000,000 silver.",Minor,NA/EU,
2021-07-28-prize-fish-locations,2021-07-28,1627430400,Prize Fish Locations,Fish Drop Rate,Prize Fish Locations,Black Eye Crab areas expanded,Black Eye Crab (Prize Catch) fishing areas expanded to Iliya Island and Slippery Scallywags isle.,Moderate,NA/EU,
2021-09-29-fishing-event,2021-09-29,1632873600,Fishing Event,Event/Seasonal,Fishing Event,Silver Beltfish + Golden Sea Perch,"'Fishing for Silver and Gold' event — Silver Beltfish and Golden Sea Perch catchable at Velia, Heidel, Port Epheria, Altinova.",Minor,NA/EU,
2021-12-29-ice-fishing,2021-12-29,1640736000,Ice Fishing,New Content,Ice Fishing,New seasonal content,Ice Fishing introduced as seasonal winter content.,Minor,NA/EU,
2022-04-06-mountain-of-eternal-winter,2022-04-06,1649203200,Mountain of Eternal Winter,New Fish/Area,Mountain of Eternal Winter,Crystal Smelt + new freshwater species; 73h freshness,Mountain of Eternal Winter (Everfrost/Eilton) launched with new fishing content. New freshwater fish species including Crystal Smelt (ice fishing). Fish have 73h price guarantee (longest in game). Ice fishing mechanic available.,Major,NA/EU,https://www.naeu.playblackdesert.com/en-US/News/Detail?groupContentNo=2957
2022-10-05-fish-price-x2,2022-10-05,1664928000,Fish Price x2,Economy,Fish Price x2,Blue+ grade fish prices DOUBLED (122 types),Selling price of fish above blue grade DOUBLED affecting 122 fish types. Single largest fishing income buff since Mastery introduction.,Major,NA/EU,https://www.naeu.playblackdesert.com/en-US/News/Detail?groupContentNo=4033
2022-10-05-imperial-seal,2022-10-05,1664928000,Imperial Seal,Economy,Imperial Seal,Golden Seal acquisition improved,Improved method of obtaining 'Golden Seal – [Imperial Fishing]' through Imperial Fishing Delivery.,Moderate,NA/EU,https://www.naeu.playblackdesert.com/en-US/News/Detail?groupContentNo=4033
2022-10-05-junk-removed,2022-10-05,1664928000,Junk Removed,Fish Drop Rate,Junk Removed,10 junk items removed from loot table,"Removed: Broken Bottle Fragment, Fertilizer Sack, Seaweed, Tattered Boots, Fish Bones, Broken Fish Hook, Snapped Rope, Torn Sail Piece, Rusty Anchor, Washed-Up Laundry. Probability redistributed to remaining items.",Major,NA/EU,https://www.naeu.playblackdesert.com/en-US/News/Detail?groupContentNo=4033
2022-10-05-glass-bottle-added,2022-10-05,1664928000,Glass Bottle Added,Fish Drop Rate,Glass Bottle Added,Discarded Glass Bottle added to loot table,"Discarded Glass Bottle added at set probability, replacing junk items. Exchangeable with NPC Crio. Community considers this a net nerf to actual fish catch rates since Glass Bottles occupy a loot slot.",Moderate,NA/EU,https://www.naeu.playblackdesert.com/en-US/News/Detail?groupContentNo=4033
2022-10-05-fishing-leap,2022-10-05,1664928000,Fishing Leap,Quests,Fishing Leap,"New quests, NPC changed to Crio","Fishing Leap quest difficulty adjusted, completion NPC changed to Crio, new Fishing Leap quests added.",Minor,NA/EU,https://www.naeu.playblackdesert.com/en-US/News/Detail?groupContentNo=4033
2023-04-06-trade-price-x2,2023-04-06,1680739200,Trade Price x2,Trade Rework,Trade Price x2,ALL trade items (incl fish) prices DOUBLED,"Major trade system overhaul. Selling price of ALL regular trade items (fish, crafting boxes, Ancient Gold Coins etc.) DOUBLED. This is a SECOND doubling on top of Oct 2022 fish-specific doubling. Desert Trading Buff removed. Imperial Trade Delivery and Smuggling removed from game.",Major,NA/EU,https://www.naeu.playblackdesert.com/en-US/News/Detail?groupContentNo=5118
2023-04-12-imperial-npc-expansion,2023-04-12,1681257600,Imperial NPC Expansion,Economy,Imperial NPC Expansion,More NPCs accept imperial deliveries,Imperial Fishing Delivery NPCs in areas outside major cities now accept deliveries. Imperial Delivery title removed from old NPCs. 0 Silver display bug fixed.,Moderate,NA/EU,https://www.naeu.playblackdesert.com/en-US/News/Detail?groupContentNo=5145
2023-05-24-fish-origins,2023-05-24,1684886400,Fish Origins,Bug Fix,Fish Origins,Fish from wrong origins fixed,Fixed issue where fish from different origins were caught in inaccessible areas.,Minor,NA/EU,
2023-06-14-land-of-the-morning-light,2023-06-14,1686700800,Land of the Morning Light,New Fish/Area,Land of the Morning Light,38 new fishing titles; Sea Palace fishing zone,Land of the Morning Light launched with fishing content. 38 new titles obtainable through fishing. Sea Palace accessible via portal in LoML waters (east of Nampo's Moodle Village). New fish species in freshwater areas.,Moderate,NA/EU,https://primagames.com/tips/black-desert-online-june-14-update-full-patch-notes-listed
2023-08-02-sea-palace-event,2023-08-02,1690934400,Sea Palace Event,New Content,Sea Palace Event,"5 new fish species; Miraculous Fish Tank (50 slots, 5x time)","New fish species (Surfperch, Scorpion Fish, Tongue Sole, Squid, Flounder) added to Margoria near Sea Palace. Shim Cheong's Miraculous Fish Tank introduced: stores 50 fish, time flows 5x slower.",Moderate,NA/EU,https://www.naeu.playblackdesert.com/en-US/News/Detail?groupContentNo=5710
2024-11-14-45-new-prize-fish,2024-11-14,1731542400,45 New Prize Fish,Fish Drop Rate,45 New Prize Fish,45 new Prize Catch species across fresh/saltwater,"Largest fish species expansion since Mastery introduction. 45 new Prize Catch fish added at specific freshwater and seawater points. Cannot be used for Imperial Fishing Delivery. Rarer fish = higher trade prices (1M-100M silver range). NOTE: Pricing discrepancy discovered at launch, fixed Nov 21 with compensation.",Major,All,https://www.naeu.playblackdesert.com/en-US/News/Detail?groupContentNo=7815
2024-11-14-fish-improvements,2024-11-14,1731542400,Fish Improvements,Fish Drop Rate,Fish Improvements,Mako Shark (harpoon); Bahaba (normal fishing),Mako Shark now obtainable through harpooning. Bahaba now obtainable through normal fishing. Bottle with a Note now stacks in inventory.,Minor,All,
2024-11-14-trade-price-increase,2024-11-14,1731542400,Trade Price Increase,Economy,Trade Price Increase,General fish price increase from traders,Trade managers started purchasing fish at higher prices. Patch notes stated traders had 'started purchasing fish at higher prices than before.',Major,All,
2025-04-24-kamasylvia-lake-fish,2025-04-24,1745452800,Kamasylvia Lake Fish,New Fish/Area,Kamasylvia Lake Fish,Yellow-grade fish at set probability in Kama lakes,"New fish species appearing in Lake Kamasylvia, Lake Grana, and Lake Flondor. Yellow-grade fish now catchable at a set probability in these lakes.",Moderate,All,
2025-04-30-carrack-sailor-fishing,2025-04-30,1745971200,Carrack Sailor Fishing,New Content,Carrack Sailor Fishing,Prize rate 3% fixed; every 180s while sailing,"Carrack Sailor Fishing via Oceanbound Otter Fishing Rod. Fishing while sailing every 180 seconds (stationary = paused). Does NOT use Fishing Mastery. Prize rate originally 1%, bumped to 3%. Cabin expanded 100→110.",Major,All,https://blackdesert.pearlabyss.com/Asia/en-us/News/Notice/Detail?_boardNo=7772
2025-04-30-weekly-fishing-contest,2025-04-30,1745971200,Weekly Fishing Contest,New Content,Weekly Fishing Contest,Permanent content; 300 winners; Mon-Sat,"Weekly Fishing Contest became permanent (was event). Target fish refresh Sunday: 1 Prize, 1 Rare, 1 High-quality. Ranks by max size. Top 3 earn Tidal Tokens.",Moderate,All,
2025-04-30-tidal-draughts,2025-04-30,1745971200,Tidal Draughts,New Content,Tidal Draughts,3 tiers of new fishing buff draught,"Tidal Draught, Blue Tidal Draught, Deep Blue Tidal Draught added. Craftable via Simple Alchemy. All pre-orders/listings for old fishing elixirs cancelled on Central Market.",Moderate,All,
2025-05-15-fish-reclassification,2025-05-15,1747267200,Fish Reclassification,Fish Tables,Fish Reclassification,Fourfinger Threadfin: Freshwater → Saltwater,Fourfinger Threadfin reclassified from Freshwater to Saltwater in Knowledge (H).,Minor,All,
2025-05-22-o-dyllita-freshness-buff,2025-05-22,1747872000,O'dyllita Freshness Buff,Economy,O'dyllita Freshness Buff,O'dyllita fish: 36h → 60h price guarantee,"Price guarantee period for O'dyllita fish increased from 36 hours to 60 hours. Fish in Miraculous Fish Tanks got +120h, inventory fish got +24h during maintenance.",Moderate,All,https://blackdesert.pearlabyss.com/Asia/en-us/News/Notice/Detail?_boardNo=7811
2025-08-21-edana-launch,2025-08-21,1755734400,Edana Launch,New Fish/Area,Edana Launch,14 new fish species (fresh + salt),"Edana region launched with 14 new fish: Swamp Eel, Pike Characin, Lungfish, Giant Talking Catfish, Longnose Gar, Goliath Tigerfish, Obtuse Barracuda, Ribbon Eel, Wrought Iron Butterflyfish, Goldenstriped Soapfish, Opah, Redfin Anthias, Polka-dot Stingray, Pinecone Fish. Fish Workshop added to Edana.",Major,All,https://www.naeu.playblackdesert.com/en-US/News/Detail?groupContentNo=8972
2025-09-01-edana-imperial-fix,2025-09-01,1756684800,Edana Imperial Fix,Fish Tables,Edana Imperial Fix,Polka-dot Stingray + Pinecone Fish removed from Imperial,Polka-dot Stingray and Pinecone Fish changed so they can no longer be sent via Imperial Delivery.,Minor,All,
2026-01-29-inland-prize-buff,2026-01-29,1769644800,Inland Prize Buff,Fish Drop Rate,Inland Prize Buff,Pirarucu x6.2; White Crucian Carp x4.4; Ranchu x4,Increased spawn rate of Prize Catch in Heidel and Calpheon. Pirarucu catch rate increased ~6.2x in Heidel. White Crucian Carp ~4.4x and Ranchu ~4x in Calpheon. First confirmed use of large multiplicative modifiers to fish tables.,Major,All,https://blackdesert.pearlabyss.com/Asia/en-us/News/Notice/Detail?_boardNo=12821
2026-02-06-inland-prize-nerf-partial-rollback,2026-02-06,1770336000,Inland Prize Nerf (Partial Rollback),Fish Drop Rate,Inland Prize Nerf (Partial Rollback),Pirarucu -39%; Ranchu/WCC -37%,Jan 29 buffs partially rolled back. Pirarucu appearance reduced ~39% in Heidel. Ranchu and White Crucian Carp reduced ~37% in Calpheon. Reason: 'caught somewhat excessively.',Major,GL,https://www.blackdesertfoundry.com/global-lab-updates-6th-february-2026/
2026-02-06-valencia-inland-prize-fish,2026-02-06,1770336000,Valencia Inland Prize Fish,Fish Drop Rate,Valencia Inland Prize Fish,Rainbowfish x10 in Valencia; new spawns,Prize Catch fish added to inland Valencia. Rainbowfish probability increased ~10x in existing areas. New Rainbowfish spawns in Valencia inland lake area including capital city.,Major,GL,https://www.blackdesertfoundry.com/global-lab-updates-6th-february-2026/
2026-02-06-grana-inland-prize-fish,2026-02-06,1770336000,Grana Inland Prize Fish,Fish Drop Rate,Grana Inland Prize Fish,Pink Dolphin x2 in Grana; replaces White Grouper,Pink Dolphins added to larger cities of Grana. Probability increased ~2x in existing areas. Grana upper reaches changed from White Groupers/Albino Coelacanths to Pink Dolphins.,Major,GL,https://www.blackdesertfoundry.com/global-lab-updates-6th-february-2026/
2026-02-06-mudskipper-changes,2026-02-06,1770336000,Mudskipper Changes,Fish Drop Rate,Mudskipper Changes,Spawning changes in Heidel/Grana,Changed spawning of Mudskipper in Demi River (Heidel region) and Lake Flondor (Grana).,Minor,GL,
